TV WP;SPN;Dr. Who;Sherlock;Star Trek;Glee;OuaT;Buffy;Merlin;Stargate;Teen Wolf;TWD;X-Files;;Total;;(MCU Quarantine ?);;Agents of SHIELD;Agent Carter;Daredevil;Jessica Jones;WandaVision
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
06/30/23;34,700;16,600;18,100;3,200;11,500;12,300;1,100;8,500;510;44,000;22,400;272;;;;;;3,000;620;2,100;490;1300
10/01/23;35,000;16,700;18,000;3,300;11,500;12,400;1,100;8,500;516;44,200;22,900;274;;;;;;;;;;
Jan 1, 24;35,100;17,000;18,100;3,300;11,500;12,400;1,100;8,600;526;44,400;23,100;276;;;;;;3,000;638;2,100;491;1300
Apr 1, 24;;;;;;;;;;;;;;;;;;;;;;
Jun 30, 24;24,972;15,299;15,258;2,746;9,161;10,159;888;7,018;430;33,371;14,681;215;;;;;;2,525;533;1,474;311;1002
Oct 1, 24;35,097;17,240;18,125;3,451;11,569;12,622;1,164;8,826;556;44,752;24,188;282;;;;;;;;;;
Jan 1, 25;35,247;17,340;18,127;3,487;11,600;12,638;1,163;8,800;570;44,837;24,367;287;;;;;;3,119;635;2,282;503;1447
Apr 1, 25;32,159;16,069;16,686;3,241;10,580;11,412;1,087;8,073;541;38,847;21,544;271;;;;;;2,764;569;2,143;426;1354
Jul 1, 25;32,071;16,119;16,593;3,259;10,537;11,326;1,091;8,062;542;38,546;21,594;274;;;;;;2,774;571;2,194;437;1341
Oct 3, 25;32,079;16,100;16,542;3,294;10,506;11,300;1,096;8,050;548;38,376;21,568;281;;;;;;2,764;574;2,233;439;1136
Jan 1, 26;31,956;16,095;16,522;3,316;10,364;11,267;1,098;8,000;556;38,237;21,500;278;;;;;;2,778;573;2,242;434;1313
Dec 30, 99;;;;;;;;;;;;;;;;;;;;;;
